from,to,n
START,START->ES:Itwo_or_more_races,1
START->ES:Itwo_or_more_races,START->ES:Itwo_or_more_races->EF:Krace,1
START->ES:Itwo_or_more_races->EF:Krace,START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked,1
START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked,START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand,1
START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand,START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer,1
START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer,START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer->EFG:hnone_checked,1
START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer->EFG:hnone_checked,START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer->EFG:hnone_checked->EOS:hnone_checked,1
START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer->EFG:hnone_checked->EOS:hnone_checked,START->ES:Itwo_or_more_races->EF:Krace->M:hnone_checked->PI:edont_understand->EFD:fprefer_not_to_answer->EFG:hnone_checked->EOS:hnone_checked->EES:hnone_checked,1
START,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone,2
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Pquantiles_4,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Pquantiles_4,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer,1
START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer,START->ES:NAalaska_native_alone-american_indian_alone-american_indian_and_or_alaska_native_and_tribe-asian_alone-black_or_african_american_alone-native_hawaiian_and_other_pacific_islander_alone-some_other_race_alone-two_or_more_races-white_alone->EF:Jnone->M:Rcomplex->PI:Pquantiles_4->EFD:fprefer_not_to_answer->EFG:Umajority_minority,1
